员工ID,员工姓名,员工性别,员工电话,员工邮箱,员工状态,员工职位,员工部门,员工入职时间,员工离职时间,备注
1,李帅,女,13420255268,yanna@example.net,离职,测试工程师,技术部,2017-12-20,2018-03-04,
2,郑娟,女,13405670701,jfang@example.net,离职,测试工程师,技术部,2019-01-23,2020-05-27,
3,杨桂芳,男,14766598419,pjiang@example.org,在职,市场经理,市场部,2019-04-27,,自己您的不会可以标准等级.
4,陈红霞,女,15227472276,lei22@example.com,在职,销售代表,销售部,2019-01-14,,
5,季飞,男,13513954431,guiyingzheng@example.net,在职,后端工程师,技术部,2019-11-02,,
6,王斌,女,13706391859,juan11@example.net,在职,HR专员,人事部,2013-12-28,,
7,郑峰,男,15508386160,jing05@example.net,在职,财务主管,财务部,2013-09-24,,
8,刘畅,女,18556157100,xiajuan@example.com,在职,财务主管,财务部,2019-03-31,,
9,邹畅,男,15295201854,luoyong@example.org,在职,会计,财务部,2020-11-06,,
10,谢玉,女,13705804459,xiuying01@example.net,离职,HR专员,人事部,2015-11-03,2019-06-10,网上信息可是一个.
11,孙梅,女,18891459274,jcheng@example.com,离职,出纳,财务部,2017-10-06,2019-05-15,
12,张淑兰,男,13417626402,fang85@example.net,在职,销售代表,销售部,2020-03-02,,
13,徐桂芝,女,18250475713,leiliang@example.net,在职,市场经理,市场部,2016-10-05,,
14,元楠,女,13260827186,nliu@example.org,在职,销售经理,销售部,2013-08-25,,其他发现只要一次组织然后.
15,谭婷,女,18292959380,juanpeng@example.org,在职,市场经理,市场部,2013-12-18,,
16,娄瑞,女,15646325263,ctao@example.org,在职,销售经理,销售部,2017-04-17,,
17,蒋海燕,女,15841810274,houjuan@example.com,在职,HR专员,人事部,2017-05-22,,分析为什您的到了.
18,顾东,男,13187997226,yong63@example.org,离职,人事经理,人事部,2014-07-10,2016-08-17,
19,宋兵,男,18172066939,luxia@example.org,在职,销售代表,销售部,2016-06-05,,
20,李建军,男,18022141020,xdai@example.net,在职,HR专员,人事部,2017-11-09,,程序然后我的还是这个.
21,姜勇,女,13677004461,pingbai@example.org,离职,人事经理,人事部,2014-04-03,2019-01-22,
22,裴兰英,女,14553859623,weiyin@example.net,在职,出纳,财务部,2018-07-21,,直接欢迎关于全国提供设计.
23,孙兵,女,14521448432,minli@example.com,在职,市场专员,市场部,2014-10-03,,
24,牛凤英,女,18833921029,ping77@example.org,在职,HR专员,人事部,2020-12-05,,
25,刘龙,男,15535783353,jjin@example.org,在职,出纳,财务部,2015-11-27,,
26,陈雪梅,男,15136721165,mpan@example.net,在职,销售代表,销售部,2013-12-18,,
27,李玉英,男,13885780095,fang05@example.org,在职,市场经理,市场部,2020-07-07,,
28,张小红,男,18665899488,xjin@example.net,在职,销售经理,销售部,2015-02-07,,
29,卢欢,男,18647512187,yang31@example.net,在职,出纳,财务部,2017-12-15,,
30,张海燕,男,13396281496,xiulanliu@example.net,在职,会计,财务部,2016-03-04,,你的管理发布具有首页空间中心首页.
31,王建,女,18559591922,guiyingqin@example.org,在职,HR专员,人事部,2015-12-22,,
32,宋秀兰,男,13560175251,taoyuan@example.com,在职,架构师,技术部,2017-09-15,,
33,刘娟,男,18636827303,yangzheng@example.net,在职,人事经理,人事部,2017-08-27,,
34,王杨,女,15892172700,atao@example.org,在职,后端工程师,技术部,2015-04-09,,
35,魏军,男,13264243559,mzhu@example.com,在职,出纳,财务部,2018-04-30,,
36,李颖,男,18829859019,ldong@example.net,离职,会计,财务部,2019-11-18,2019-11-29,
37,蒋玉,女,13608083102,houguiying@example.org,在职,销售代表,销售部,2013-08-26,,新闻其中这是价格.
38,陶华,男,13760471376,weiyong@example.com,离职,财务主管,财务部,2019-09-26,2020-10-26,
39,娄华,女,14534356474,songguiying@example.org,在职,销售经理,销售部,2016-10-15,,
40,但超,男,18608779693,yongfu@example.org,在职,市场经理,市场部,2017-10-31,,回复是否系列经济行业.
41,白晨,男,15096776578,fpeng@example.net,在职,会计,财务部,2020-01-17,,
42,邱婷,女,13317866405,yong58@example.org,在职,人事经理,人事部,2018-12-02,,
43,杨秀梅,男,13259060548,pinghao@example.net,在职,销售代表,销售部,2016-11-14,,
44,杨玉,男,14504396599,fangshi@example.org,离职,销售代表,销售部,2019-03-28,2020-12-29,大学合作软件资料国际.
45,王琳,男,13369352295,juansong@example.com,在职,市场经理,市场部,2016-12-26,,日本首页增加上海觉得.
46,曲洋,男,18810575515,minzou@example.org,在职,前端工程师,技术部,2018-05-13,,
47,魏琳,男,13832146251,kangyong@example.com,在职,出纳,财务部,2013-10-25,,
48,朱杨,男,18075536610,byan@example.org,在职,测试工程师,技术部,2016-06-25,,都是如何科技今年.
49,管莹,男,15148233083,ming14@example.net,在职,市场专员,市场部,2016-12-15,,
50,杨欢,男,18616747418,luona@example.net,在职,销售代表,销售部,2020-12-18,,会员因此今年规定.
51,刘秀荣,女,18990126611,iwang@example.com,离职,前端工程师,技术部,2020-06-13,2020-11-07,
52,刘璐,女,13727119896,lei89@example.org,离职,出纳,财务部,2016-10-09,2018-04-26,有限经济应该环境具有.
53,萧桂荣,男,13621118166,yong96@example.org,离职,人事经理,人事部,2017-11-06,2020-01-16,根据控制进入基本联系工作的话.
54,车杨,女,18982280942,dzhang@example.org,在职,财务主管,财务部,2016-07-31,,语言投资管理原因什么.
55,王想,女,15528738480,li94@example.org,离职,人事经理,人事部,2014-02-08,2017-09-14,
56,张志强,男,18987127648,xia45@example.net,在职,架构师,技术部,2015-08-22,,
57,孙岩,男,13882218770,tyao@example.org,在职,销售代表,销售部,2016-07-18,,
58,刘芳,女,13102585852,xiuyingzhao@example.net,在职,销售代表,销售部,2017-08-18,,
59,鞠桂香,男,18870166352,yyuan@example.net,在职,后端工程师,技术部,2017-01-17,,
60,林春梅,男,13747342462,weijiang@example.com,在职,后端工程师,技术部,2016-08-20,,选择在线中心免费的人.
61,赵旭,女,13617843456,qinyang@example.net,在职,市场经理,市场部,2016-04-24,,能力参加注意生产以后.
62,尚斌,女,13784320792,gcao@example.com,在职,会计,财务部,2013-09-29,,
63,李洁,女,15571371917,yangping@example.org,在职,会计,财务部,2013-10-06,,我们我们如果人员这样本站.
64,韩淑珍,男,15995963535,gangtang@example.net,在职,人事经理,人事部,2018-02-11,,
65,陈玉梅,女,13219761618,qiangchang@example.net,在职,市场专员,市场部,2014-08-31,,
66,杨建,女,18542890998,cqian@example.org,在职,出纳,财务部,2019-06-03,,
67,熊莉,男,13776092953,dengming@example.net,在职,会计,财务部,2014-06-07,,
68,张玉梅,女,18659788477,qiujun@example.com,在职,架构师,技术部,2020-09-13,,
69,王秀芳,女,15343517423,mingfan@example.org,在职,人事经理,人事部,2018-08-10,,今年记者进行完全.
70,张桂花,男,13128353747,hma@example.com,在职,会计,财务部,2016-10-10,,
71,周秀芳,女,18690509828,xiakong@example.com,在职,前端工程师,技术部,2019-08-15,,
72,杨淑华,女,18656754787,ezou@example.net,在职,销售代表,销售部,2014-05-31,,信息市场只要类型中国.
73,温俊,男,18243231326,qiang84@example.com,在职,市场经理,市场部,2019-06-21,,
74,黄斌,女,15125752883,idong@example.com,在职,前端工程师,技术部,2014-12-30,,
75,邱静,男,15669837848,zhengwei@example.net,在职,测试工程师,技术部,2017-11-03,,简介一样介绍手机出现而且到了企业.
76,杨阳,男,15053728142,ylu@example.com,在职,前端工程师,技术部,2020-03-29,,
77,徐红霞,男,13337174572,flai@example.com,在职,HR专员,人事部,2015-04-25,,程序或者活动过程因此到了.
78,张秀珍,男,18036210455,czhu@example.net,在职,财务主管,财务部,2016-10-21,,原因如果图片的话查看注册.
79,范秀兰,女,14757712796,baigang@example.org,离职,人事经理,人事部,2014-07-08,2014-11-11,对于更新介绍地区图片.
80,景玉兰,男,13831167303,cguo@example.net,在职,销售代表,销售部,2019-04-13,,
81,张飞,女,13365739490,zhuna@example.net,在职,销售代表,销售部,2016-07-04,,
82,张洋,男,18604963290,zhouyan@example.net,在职,前端工程师,技术部,2014-01-01,,文化知道时间可能联系其中因此今天.
83,李平,女,13852906345,yewei@example.org,在职,架构师,技术部,2018-10-12,,开始标准在线新闻标准制作.
84,李博,女,15113629980,aduan@example.com,在职,出纳,财务部,2015-05-01,,世界以及进入进行然后.
85,王红,男,15186223298,weikong@example.net,在职,市场专员,市场部,2016-12-17,,
86,刘玉珍,女,13613404382,jiexiao@example.org,离职,人事经理,人事部,2017-05-17,2017-11-29,
87,罗金凤,女,13699644566,tao59@example.org,在职,测试工程师,技术部,2017-07-12,,
88,梁秀珍,男,18029674926,chao99@example.org,在职,销售代表,销售部,2015-06-16,,
89,王玉华,男,15289210388,xiulan35@example.org,在职,HR专员,人事部,2017-01-29,,
90,晏淑英,女,14591326938,zhengwei@example.net,在职,后端工程师,技术部,2017-08-30,,名称地址需要一样的是主要.
91,张涛,女,15683554493,lei77@example.org,在职,出纳,财务部,2015-06-29,,
92,王淑华,男,13372123361,chao42@example.org,在职,财务主管,财务部,2014-05-26,,
93,李璐,男,15063138780,yong01@example.net,在职,架构师,技术部,2015-07-09,,或者事情不过联系.
94,向燕,男,13695909887,swei@example.com,在职,销售代表,销售部,2013-06-08,,
95,孟桂英,男,18136633547,nafu@example.com,在职,人事经理,人事部,2016-10-02,,具有内容功能.
96,王桂英,女,18614690880,guiying71@example.com,在职,销售经理,销售部,2016-06-17,,
97,余建平,男,15849116876,mxue@example.org,在职,会计,财务部,2016-04-22,,
98,张飞,男,18242072925,sunna@example.com,在职,销售经理,销售部,2015-11-03,,国际查看正在企业的人她的类别.
99,陈莉,男,13658696491,mingpeng@example.org,在职,市场经理,市场部,2015-06-26,,
100,沙云,女,15685970193,gangkong@example.com,离职,人事经理,人事部,2017-08-17,2020-02-13,
101,王洁,女,13205433193,xiulanwen@example.com,在职,出纳,财务部,2014-06-09,,
102,郑海燕,男,15500698179,tanguiying@example.org,在职,市场经理,市场部,2019-06-07,,
103,佘涛,男,15946392896,pingduan@example.net,在职,人事经理,人事部,2014-04-09,,
104,万洁,女,13648886307,ytao@example.net,离职,后端工程师,技术部,2017-09-30,2020-03-29,
105,赵文,男,13880754741,yanhou@example.com,在职,销售经理,销售部,2020-02-22,,
106,赵亮,女,18698958367,pingcao@example.org,在职,销售代表,销售部,2014-07-03,,大小必须提高之间类型都是.
107,桑欣,女,18657073395,qwei@example.com,离职,前端工程师,技术部,2014-08-31,2018-05-22,
108,陶兰英,男,18263716937,jie04@example.org,离职,后端工程师,技术部,2014-12-26,2016-04-22,
109,房帅,男,15513167157,cuiping@example.org,离职,出纳,财务部,2016-06-27,2016-10-12,
110,盘俊,男,14746565004,pinglei@example.net,在职,后端工程师,技术部,2019-04-01,,
111,黄春梅,女,18962683557,yanyang@example.org,在职,销售经理,销售部,2014-02-05,,基本看到两个软件.
112,秦瑞,女,15511595020,shitao@example.com,在职,市场经理,市场部,2019-12-07,,
113,曾荣,女,15821120172,yijuan@example.com,在职,财务主管,财务部,2016-07-31,,
114,沈玉兰,男,13792790591,zye@example.org,在职,架构师,技术部,2018-08-01,,
115,张桂花,女,15374150977,weiye@example.org,在职,测试工程师,技术部,2020-06-05,,
116,罗霞,女,13413739987,jun48@example.com,离职,市场经理,市场部,2020-12-15,2020-12-22,那么提高国内北京具有.
117,张凤英,男,15683046014,ming97@example.com,在职,会计,财务部,2018-08-15,,
118,詹瑞,女,15691710947,juan71@example.net,离职,测试工程师,技术部,2017-03-16,2019-04-14,图片谢谢不能国家说明谢谢帖子.
119,赵超,女,13002869308,jingwei@example.net,在职,人事经理,人事部,2020-05-27,,其中一起比较设备简介作品客户解决.
120,张颖,女,15931820601,qiang40@example.net,在职,会计,财务部,2013-10-30,,
121,李慧,男,18851741970,liuxiuying@example.com,在职,市场经理,市场部,2018-09-20,,
122,张欣,男,18010872655,zchang@example.net,在职,市场专员,市场部,2019-04-07,,
123,赵静,女,18170832722,lei34@example.net,在职,出纳,财务部,2016-11-22,,
124,白红霞,男,18630340787,yong48@example.com,在职,市场经理,市场部,2017-08-03,,
125,曾倩,女,18611100981,guoqiang@example.net,在职,市场经理,市场部,2020-09-04,,
126,胡小红,男,13508827691,xiulanyan@example.org,离职,销售经理,销售部,2015-10-20,2020-07-04,一次工程这样问题.
127,吴婷,男,14774761990,yimin@example.org,离职,市场专员,市场部,2017-06-12,2019-02-17,
128,邱秀华,女,15997256844,liaoxiulan@example.com,离职,市场专员,市场部,2015-06-24,2016-09-12,
129,吴倩,女,13407101727,jwan@example.com,在职,市场经理,市场部,2019-08-08,,
130,褚桂荣,男,18993934999,liuyan@example.org,离职,HR专员,人事部,2015-07-19,2018-08-21,
131,萧琴,男,15294549446,guiyinghao@example.com,在职,人事经理,人事部,2020-02-10,,
132,王军,男,15275249743,fyu@example.org,在职,前端工程师,技术部,2016-02-16,,
133,章丽丽,男,18713149756,li69@example.org,在职,HR专员,人事部,2015-11-09,,详细今天对于公司.
134,林静,女,18907534995,jie94@example.net,在职,人事经理,人事部,2014-08-08,,
135,董柳,男,15906839968,magang@example.org,离职,财务主管,财务部,2014-01-20,2015-04-01,
136,陈涛,男,13464070665,min60@example.org,离职,人事经理,人事部,2014-07-19,2019-01-05,
137,顾淑华,男,15293952563,fanli@example.net,在职,会计,财务部,2014-11-06,,学校所以最后网络任何.
138,文帅,男,13674328249,qma@example.org,在职,人事经理,人事部,2018-05-25,,出现同时登录不能生产男人.
139,张丽娟,女,15032622485,jing06@example.org,在职,后端工程师,技术部,2017-10-20,,特别起来单位还有可是这种.
140,王玉华,女,13195391472,yinjing@example.org,在职,销售经理,销售部,2017-09-19,,得到提供联系包括时候行业的是.
141,陶伟,男,13173786674,xugang@example.org,在职,市场专员,市场部,2018-10-20,,
142,郝红梅,男,18277346601,wanggang@example.com,离职,销售经理,销售部,2017-12-08,2018-01-05,
143,刘涛,女,13254629571,taoliu@example.com,在职,后端工程师,技术部,2013-07-28,,
144,聂宇,男,13020799015,taobai@example.net,在职,人事经理,人事部,2015-12-04,,法律之后方法各种是否学习.
145,任桂荣,女,13987903701,qqin@example.com,在职,销售代表,销售部,2019-08-03,,女人目前工具大家价格继续一点品牌.
146,曹桂芳,男,15275104770,yang83@example.org,在职,HR专员,人事部,2019-09-12,,
147,薛娜,女,13714623077,chaolong@example.net,在职,测试工程师,技术部,2017-11-12,,
148,徐兰英,女,18966975015,ming53@example.com,离职,出纳,财务部,2020-03-17,2020-11-13,
149,张金凤,女,13078808048,juntao@example.com,离职,市场专员,市场部,2019-09-02,2020-04-19,政府最大大家精华帮助有些.
150,张艳,男,15218821371,guiyingmao@example.org,在职,会计,财务部,2015-03-18,,点击完成来自公司地区.
151,马阳,女,14575745537,lzeng@example.net,离职,销售经理,销售部,2016-08-02,2020-06-28,
152,戴阳,男,18904418435,wanli@example.com,在职,销售经理,销售部,2013-11-15,,
153,梁峰,女,14720242824,gang43@example.net,在职,销售代表,销售部,2020-03-24,,地区质量历史国家自己.
154,刘霞,男,13029493059,yangao@example.org,在职,出纳,财务部,2016-12-10,,
155,郑兵,女,15293085591,yuwei@example.com,在职,架构师,技术部,2016-08-13,,
156,董华,男,13315792181,taowei@example.org,在职,市场经理,市场部,2017-11-06,,
